100 269
1 148 239
2 18 185
3 134 73
4 56 222
5 165 68
6 107 202
7 114 253
8 50 117
9 65 268
10 79 283
11 186 90
12 91 59
13 34 280
14 193 79
15 198 220
16 110 232
17 168 197
18 121 127
19 148 1
20 69 276
21 130 113
22 117 227
23 95 243
24 163 166
25 100 59
26 101 141
27 99 186
28 117 243
29 173 84
30 155 9
31 192 123
32 19 264
33 190 160
34 12 40
35 115 190
36 2 32
37 110 244
38 39 170
39 35 105
40 115 201
41 41 287
42 172 115
43 109 292
44 127 88
45 149 182
46 4 182
47 97 192
48 51 22
49 113 287
50 176 15
51 46 128
52 23 229
53 150 108
54 112 61
55 13 236
56 22 126
57 193 106
58 49 93
59 33 101
60 182 275
61 8 81
62 72 285
63 159 105
64 191 75
65 41 171
66 50 18
67 198 238
68 145 173
69 85 147
70 82 256
71 34 50
72 55 4
73 48 126
74 126 3
75 29 80
76 12 260
77 196 237
78 141 236
79 62 54
80 177 183
81 152 202
82 139 26
83 50 1
84 47 236
85 43 235
86 136 280
87 135 76
88 53 190
89 44 183
90 14 179
91 190 272
92 60 226
93 13 185
94 91 300
95 34 274
96 175 267
97 44 237
98 37 65
99 100 294
100 180 135
